"maintenance record for PSC-1015, commonly known as ""Tissue C"" or ""Druscilla"" ",
Paper copies of all work done by LiCor in file cabinet in Schwilk lab (Room 206A),
Date,What was done
10/11/2016,Factory Reclibration of the machine
10/11/2016,"both Cell block and thermocouple replaced, fixed analyzer head cable and air pump"
7/10/2009,Factory Reclibration of the machine (paid for by Western Sydeny University)
7/10/2009,Replaced quantum sensor
